n,m,z,,,,,,i,m-i,n,m,z
1,1,1,,,,,,1,0,1,1,1
3,3,2,,,,,,0,3,3,3,2
6,5,4,,,,,,3,2,6,5,4
10,7,11,,,,,,5,2,10,7,11
15,8,76,,,,,,9,-1,14,9,29
21,12,199,,,,,,11,1,18,11,76
28,14,2207,,,,,,16,-2,22,13,199
36,18,15127,,,,,,20,-2,26,15,521
45,24,64079,,,,,,23,1,30,17,1364
55,28,1149851,,,,,,29,-1,34,19,3571
66,35,7881196,,,,,,33,2,38,21,9349
78,41,141422324,,,,,,39,2,42,23,24476
91,46,6643838879,,,,,,47,-1,46,25,64079
105,54,119218851371,,,,,,53,1,50,27,167761
120,60,9062201101803,,,,,,62,-2,54,29,439204
136,68,425730551631123,,,,,,70,-2,58,31,1149851
153,78,12360848946698171,,,,,,77,1,62,33,3010349
171,86,1520283919093591604,,,,,,87,-1,66,35,7881196
190,97,71420983074726546239,,,,,,95,2,70,37,20633239
210,107,8784200221406821330636,,,,,,105,2,74,39,54018521
231,116,2828485190904971853895196,,,,,,117,-1,78,41,141422324
253,128,347880681146567910619198829,,,,,,127,1,82,43,370248451
276,138,181246502592140286475862241127,,,,,,140,-2,86,45,969323029
300,150,58360810951903047633608127919247,,,,,,152,-2,90,47,2537720636
325,164,11614094642430242607991748403072229,,,,,,163,1,94,49,6643838879
351,176,9790668006450087855208301058479994796,,,,,,177,-1,98,51,17393796001
378,191,3152564691982405848945267213740827495676,,,,,,189,2,102,53,45537549124
406,205,2657608295638762232902023676028758508503879,,,,,,203,2,106,55,119218851371
435,218,5865340304302187643578851115183629356018114724,,,,,,219,-1,110,57,312119004989
465,234,4944474918817897417578506056549605984335718813571,,,,,,233,1,114,59,817138163596
496,248,17656721319717734662791328845675730903632844218828123,,,,,,250,-2,118,61,2139295485799
528,264,38968375952288565232045389724620885467329711553201789043,,,,,,266,-2,122,63,5600748293801
561,282,53152893368096828164703516186894669701135412590661039359651,,,,,,281,1,126,65,14662949395604
595,298,307117408681677775627454015213540802567633602980232062717348999,,,,,,299,-1,130,67,38388099893011
630,317,677807981804381412733419097483256033462649109976189806684020291364,,,,,,315,2,134,69,100501350283429
666,335,3916374401557304223164820684141659816733812320242708264590843329003196,,,,,,333,2,138,71,263115950957276
703,352,59242995313457729780510823767354730798286848921481374874264534705573628371,,,,,,353,-1,142,73,688846502588399
741,372,342306016667957466724739966458193902819052815178146441379223610875844503409399,,,,,,371,1,146,75,1803423556807921
780,390,8378282077950301040232221205411735373651041626923292973252735220829532629101728047,,,,,,392,-2,150,77,4721424167835364
820,410,126738272439291434313249600066520279491458880865496121083104129584420599055897396211447,,,,,,412,-2,154,79,12360848946698171
861,432,1184876122591280788852253536009138773925562439254963860297120575767740586505931118396349599,,,,,,431,1,158,81,32361122672259149
903,452,46924649053063645434354929868956097166539684828837380996580561428481441912161684238066023627996,,,,,,453,-1,162,83,84722519070079276
946,475,709829163123647803083326786369219685855075976024697505878992095730695001066734029874266337635515171,,,,,,473,2,166,85,221806434537978679
990,497,28111364329262202917399246270538318595140044527211434278933802466639384085983514992862002191238729809364,,,,,,495,2,170,87,580696784543856761
1035,518,2914642476115433108774448670117451088221665819182440365185206350061744447565887766569314615943412586531108724,,,,,,519,-1,174,89,1520283919093591604
1081,542,115428585908002990122654653194641515498279931970635689323581338587287990392571362814149065514367304742021723732201,,,,,,541,1,178,91,3980154972736918051
1128,564,19364415001200543380438216665332474857686786265639256700683612396479391159895253980177328859933928340958996823559426043,,,,,,566,-2,182,93,10420180999117162549
1176,588,2007741275967707363498109199162966127291604571633828908341580252399436442319379728219430182342362460744295111796830449810123,,,,,,590,-2,186,95,27280388024614569596
1225,614,128654053254067001789796154414677061029563911266334766544884715737078582075546200311143377241563666249432665857145030497939634521,,,,,,613,1,190,97,71420983074726546239
1275,638,34922242176969745744467093745370115762305823212152452817728254068176523934392075620090879546517856345400788864649924707124370370450324,,,,,,639,-1,194,99,186982561199565069121
1326,665,3620807913055756494068250792056657773445538863908311031442914209142761171799965845550637835009569298176837429020244750186563960377437111604,,,,,,663,2,198,101,489526700523968661124
1378,691,982842962330254600471120877217829836695810448251148955700546270302006142026838786403214928744485647330997148248811780420668664503707628845040051,,,,,,689,2,202,103,1281597540372340914251
1431,716,698454402649725415504947913190875681907932338476450537839147906595917291888001774996271691531299360730236725619765895699083927019425438870677073451196,,,,,,717,-1,206,105,3355265920593054081629
1485,744,189590558415876299679925337301498519725358939540496742242643814024163850429263458893978847939984836744853561854840175583470279287996086809694803026512751279,,,,,,743,1,210,107,8784200221406821330636
1540,770,218000893185218661781471173453765068902353435404347323467460300563101345346098645686586377178584080399322634753613150881220799247913257702136417701836977105456647,,,,,,772,-2,214,109,22997334743627409910279
1596,798,154921680739089322371554184726687695792487375219674962757016178621593399786770159822206781850469471181492177174619662343437578721382665041833981956174410729499935528127,,,,,,800,-2,218,111,60207804009475408400201
1653,828,68042221867683719597627603269378033626983085606723962361310946262952544767929414272644392706273808335887154820575139125032494623595625294468058316565262797081572661189663079,,,,,,827,1,222,113,157626077284798815290324
1711,856,126592417700345252896104015686532950787981509605356697653807618722249885789897869017063495745320035615164656058356518691906921791809171490448190001855845733077825715657119698215971,,,,,,857,-1,226,115,412670427844921037470771
1770,887,89962521861319116085337973107207761627305632863112548021309864859926422711705166354123486894229977272847639533657462496874790494908156525694206048989646863840485008513518465810744068636,,,,,,885,2,230,117,1080385206249964297121989
1830,917,167375091997892138837695620204597221845829956587194094697161586642606564236823529061444527817165547147312821883532162058189874394640404634560616945283192381755522036334587960471036480719271364,,,,,,915,2,234,119,2828485190904971853895196
1891,946,815258464732622568155535830138546578362030848822254546319420205111502233041714543947280848938560724035457430392347674384505927037178841490591645243949731425926548632739080571796457631916218761269879,,,,,,947,-1,238,121,7405070366464951264563599
1953,978,1516786743117676629128517478738063541918109700276730922381553554846852291244551464217019737192778285258790888475823397067829971664737548835100996668963028768912248198353373152861274095914905414183375277171,,,,,,977,1,242,123,19386725908489881939795601
2016,1008,11954093612712253035198064453196664182727210389192379437929014736524786277302350773978991555677224636085483422330841737146762859093016607881101847767432746425582204993988092836289015864707421490448597855320025123,,,,,,1010,-2,246,125,50755107359004694554823204
2080,1040,58226561011196185347231336991225599972583538594618497159521832887019707496240458164518775739905281862482580669252714155191667127141799631410476826182628062422419847220270997507122447933851554392903910675837967398520203,,,,,,1042,-2,250,127,132878596168524201724674011
2145,1074,175282269713512767493622574527689128556491472348149179831610462226412173070390323744303860953013013734312321943225026265185427935640493278495010986320972643134549874672060580257168093218224286116747120577951644929509707029171,,,,,,1073,1,254,129,347880681146567910619198829
2211,1106,2235207040524298746701182614954720684070975051585851598847865222368229554863807769131646391264210944272992818021211030231012887352421732640597921754035810831362450401665204714116622260152211471548763813334013072908810524967397278404,,,,,,1107,-1,258,131,910763447271179530132922476
2278,1141,10887351507716200082533480033785146364266692262921348805806430826600968635908714265326317835804220786935415619222974898632314752806114903203913324782055174335722203184708504547253308235670172040599604928847276678890900884573551297000062199,,,,,,1139,2,262,133,2384409660666970679779568599
2346,1175,138835974582510961475952899111932624942324941945034209050502908527101119705819009259967493751687997652110613196876694905505573975801418924123721666334896688200562599042800168042923251703820891270985456177628605858921912936813644687015586943888796,,,,,,1173,2,266,135,6242465534729732509205783321
2415,1208,4635078163181956558367595275394053158134994554577096456682423700392346758981669526592225395499949326434595176406307751256550354752952908070796678348294160109070933583762056926545961495802967515850496499802713488946693930736256211330104979757537214664076,,,,,,1209,-1,270,137,16342986943522226847837781364
2485,1244,59106716045256963379135266528232196325555237942435784190306557358587262896969625569534996339764503973069183117482626574161395226486816604465124613473188773913942772478715075883415218866822430593443056549393732149671390216192489832533663304967986902630260575029,,,,,,1243,1,274,139,42786495295836948034307560771
2556,1278,3192857381931751320885576892600583635309165351618396559697308323777800092077495319828147329834507921413716183651222513771119747434741680984216572249383868144053129679997691117788778291712248041447556170685095752500860178816036822564296639052575665612971788821863280127,,,,,,1280,-2,278,141,112016498943988617255084900949
2628,1314,106594444081573126964961949677619400287602750743955796660287075070239729118635858820449099633154754854389075905584545100918001539825457905616270367967996139717373928367436118441505257940676716941725519435748618080708306670812756882001005906389966362277045830864734534976825207,,,,,,1316,-2,282,143,293263001536128903730947142076
2701,1352,2199388640807238990797169730182329356533635007992577687998631988137292533639971456819979121689095428043405583907435630774578291850392963666838381105106946475978402022382303023494525517224387945556457176891189717416017909360125591581590373750679613400450027836960314188483135132110749,,,,,,1351,1,286,145,767772505664398093937756525279
2775,1388,192234931481553652562019809003023562542793175925185845570243584293912031275372614356535989028856887785425601799485612175595456967817344820649613081595836259668937550679156505516637135289365754186620269940924124948113151113993042316640833552291602342890734752682820918086947669534017950639676,,,,,,1389,-1,290,147,2010054515457065378082322433761
2850,1427,6417817397762340730838837709366435201289179557796702127529687898726578175698562469514201975960012283591187113351894266700901621929816887068045844533630498335356320488532572676725949944494225784763937973392252540146495315752506269186185308920168465993403692553838153961519196828468475840681394414636,,,,,,1425,2,294,149,5262391040706798040309210776004
2926,1465,560941647523992196629903794952119686976282864361748871419887894197885637258039114551888150814783101981553650903108798314015636268491925207407544934919247255355029559197116641570010155376744000867223803751645896756733697645460460304936604428775943721089376724637503819866178060411961016562560908509487646479,,,,,,1463,2,298,151,13777118606663328742845309894251
3003,1502,128358104675914271481655225426684888967305881567966785004838900193311410348605205078976661282969902549988727015743503015582869552334843797842695503039149311898001240171829646568308949524845961353624643785068725486737398361250414278820125401410036990340600970931175639823085691471579738060277199436618151892784490004,,,,,,1503,-1,302,153,36068964779283188188226718906749
3081,1542,11218986494546988360906812513939689132873103782728757568214720256101894572500636760969246817414846089060720503723391366609683988331747837686516794032989473193979543070584539626447158031834691361907352029421877181112546730616224820830414880590273770914222553351669122777005886865833337555660740940074441350244177825199293451,,,,,,1541,1,306,155,94429775731186235821834846825996
3160,1580,4153812371395942417642014455182966670603070400588986581973941013157199160719260170864507789903307251835822067843183497697437679115214918173218900037730919157349914609835741420247089024982078230145647427299824390882382657157028758225776724050613567593678858706975481409568402032060404117952487652124227762661490039389856654532194403,,,,,,1582,-2,310,157,247220362414275519277277821571239
3240,1620,950500797231219068791337172754469334278928608306776489371329168297135793313661666880048216734385531520530354326793705995945103769442944192885800252374158390764579868098843000558455924726057659286982516438874206921652493043192887952465628532292055642319343711452399719362889275567650753284866454229545751626781236310202578623271283450972603,,,,,,1622,-2,314,159,647231311511640322009998617887721
3321,1662,134422031708291772782596373846962869394424263997303972577888351002693020205471665114516257272880088635822235917649048057713586404069785654480023543562602790973745721930125361587414914190977417082219197242621401531489310528938058619839561553875136947425959104232001958671753931803319396994131763220360488319008393455205285989229146429152061247833051,,,,,,1661,1,318,161,1694473572120645446752718032091924
3403,1702,80528821919547512656223007592387925865870511574372088782154729724961861039645985529681174501822310123304626688999219301813860709462382327425643052449182271421548175283966250110167239599543370696292592383286369758382069364084234613631664048109150572680158297851331851327934725613501902653040216061106160178549824118352834773003943352022690466159723713368879,,,,,,1703,-1,322,163,4436189404850296018248155478388051
3486,1745,18427098431722762561685545426533772128598011803516646077195233555017803992098515482583779697494806289865986604218578184863881840184056907257741419115386419308912599900061285013365828561409239248607316463353812535244531704864159912476459436612018597241658358532768442181443337879052801660634132130686882180960935136007775119996375400857799895975887239019596860664404,,,,,,1743,2,326,165,11614094642430242607991748403072229
3570,1787,11039206216748775763876694195820949976324273443951479793138396583876482225638693593726946925781640317342828627051878278331116150718383939756434144374509159433361196473562280319842568140350704538883052606220255717966763105017717139551764147397493695914084593745096180025923161515890843774222281933917863166213785762782079225813553199365686458419557453254687127117877512938636,,,,,,1785,2,330,167,30406094522440431805727089730828636
3655,1828,17313864613528303221205278932918155619331486484914653063668368288517116582407675057335772184048593878398709808546738040579432638049686057170935275760811197645229453124472742509288368440185950576695903118619216842329325524950118782477779751248234329164929302710022682439786616272440353450653192760530188504853964499214034305400961373344969427041082409853878711987835516184270555675851,,,,,,1829,-1,334,169,79604188924891052809189520789413679
3741,1872,10372296136898601314398576043842800708761536352888872675825335921048607718971307150188183569949281103381570838507659529152283163818316566923278886712301185319214445461462124404384435350375415114438720873950585424967738177852573383593925188469232550832878499696655610737906913449251830227896233155178942116706345138209473880678634631549417574532785353912904110721845553498329832593173904514399,,,,,,1871,1,338,171,208406472252232726621841472637412401
3828,1914,26321989949310661599173239357495920611196936163360981205669922427275637069266942284312423078716580006521093513640268888238179492718614399576125801558554828827403286033873690704766726023152339931436228689343189893380920386772809242208554996347387392497677485422110169397836633133002318016320292991425934439542799272490510257900866422132847863662106917362762809985867672176419277245383149807542375251207,,,,,,1916,-2,342,173,545615227831807127056334897122823524
3916,1958,41283346047976892934947374095853650125392283210782351672569805372831579896695687422617874282752144589157380368445616069662443471093516504645398269430764349997428890815007755751680957177566317894365704638886333345296385270427061592274761376016180135852112122149978680121048826782308864899958991115316606944298547111599971407357433006796902686948356146647717107577374371834130453851768054016269221043575524026127,,,,,,1960,-2,346,175,1428439211243188654547163218731058171
4005,2004,40016898038480141224301763003706768775961190638214141555661053883135255570742608181490508074729879744171753169694822600735873352905788894799575723291020617599182326686643631121352943026547530064548882805424007443105153094214022096074512924357576797437251978158945002195018605808095586059742255977121449846589323170048226886406842608081218555090124427987414395249205033874867958009578280633769440578369285822233921741879,,,,,,2003,1,350,177,3739702405897758836585154759070350989
4095,2048,1643141150640742238645761480006129988475851746403660892879595556953374582900064992277030375739729952854549857896473703348388616066410071669259228788423312053825896950525019714273807626987236232833133074721714275552450115774453711251095673210510201548310793077063360462599514568879616866123822107824869189340519330251882461995596879395041107320958476434187920080936859ïŽ±86825684713516873234428712977018731540771144530783255086432876,,,,,,2049,-1,354,179,9790668006450087855208301058479994796
4186,2095,257709864862816664274817923404359254657199904377360499387515642860574952733953457396197725148570822173261138912743698599392295667222805801162365512341498227161235937273645554609551908859501746610591518013170559642313529735982823370412663230383137263686896309209262440111864624831966909690331625319105930859082443662913556854849805255952558495450282081460837477913931814706250315691930886360459892475376985625372468046111082610860745758971,,,,,,2093,2,358,181,25632301613452504729039748416369633399
4278,2141,1058187177514276197480473833670900953886108814347814041435208069173363386730149453108839643732188865746622020964808494766052852638730275397439756209861284589438012824599771321305883182626187104114191563849363555079325508327099298007493145540608122044311213288750509238835861593376447388733928041920260159004788161426738430549753791458653779833868025141826060519666779079174311894555062976929677743409659052679668110045119752142384993508349477020324,,,,,,2139,2,362,183,67106236833907426331910944190628905401
4371,2186,11375466785328671665681861735063691405036500440181686444413124070713426288359159898238636457063112202977709664265226292906115371945350869372239115771159732380083320213828939821829877065899334629820503949234117595517779355427263508733306309629964989939663213843305377177527746801490841442042225062043457009604512911647879936826411314975735484875358267959327126446388069609697225794945680081515947271744417080195477786687558915655914320153101482629365102085604,,,,,,2187,-1,366,185,175686408888269774266693084155517082804
4465,2234,46709011689878623474643119507356962492065287743658882206760287519680847616729820112088824864825394014210409148332139972324058024195978922869263575499018510820068572641804544534799291357277313747783192871670217491789265485628207564482584343206775305032097039051766417568118379761604835044557772705627177151723082331184571190588760688437410303424850738735377925454909793520987532816596575305959080899251173440153861637051056382922038371038706341279537447731557929762321,,,,,,2233,1,370,187,459952989830901896468168308275922343011
4560,2280,812447020742073053171317600426359198165358989161917035039667574218672022260475718131901014313881633576528779127983688572225191260096090123415802604456465875166424759534835321831213991432841777998281368687899185903054739434563218801732980010714522767148655712400995968082688704787268179522947232378142153282005284811303244816356487872405206917712876461205283224392841936253851602448210768043608546671395215273664423449723308681775106760896721927285048226980101767225461167540403,,,,,,2282,-2,374,189,1204172560604435915137811840672249946229
4656,2328,8733770636873929942907713556332150523240315173367674874144161438984919419074700161359887077331132261870254844239214295704256115353730248980270493200286118118333593655505228073935238558875133310688615509231317718146734213784035102621515343998441910740424433597970765601810833395592973969588650096102654390908047452667470414701859163290063729041456762721979246903239578933695440689687889820673696843508479317297559542764717761755150458321878061670123283345470422224711752233471902085911123,,,,,,2330,-2,378,191,3152564691982405848945267213740827495676
4753,2378,58025764917531606777527084528174163300887967756742451950286477182431578659886653505674551840559141786849481310428169764313919496546296189092114803599048389748460184976611353911373230275328956484795111969248554561706247345446345554798657124390189570103076378451823937007660069807117069929817841883034515000177338949362531619410093380957002063895988688409324503620324047104531870117943510125009303957947229957207028453493279042031352975029671910571858551562804900637709075575715414633085215782279921,,,,,,2377,1,382,193,8253521515342781631697989800550232540799
4851,2426,1633062802612243995694174087836692711066505204980166535673247766783987383609320019710186290836522633586084663391451596183189085454567933285966952203407137179278700111325929348273605420211676305639326477188695855095827870370882671110043092135449356624280908519824760742778089012858175291103180995564134911693259462822190148214461944724197987615722177605509529073154328940444991873210738877294253603041665203118719464995038905186925902282970784966996167611033412095141115891318740308680029603959931899687495204,,,,,,2427,-1,386,195,21607999854045939046148702187909870126721
4950,2477,17555355105614772545762410644670599396472261377685550278944096992638335615999148211351694128540314661051846080209537524228207830456100531339773727745272948446205871446446546433213705155361305120288285160909248668574374388583966378292447143949108794823286668543716708012204670717624259715849573381467296293826520368070085242602989837607961461759323789808499388143898718838252230028767615473777758554377320121681996961667006257587740826626313324073833619515735568292766799921689698422818051447591863334199391955413035364,,,,,,2475,2,390,197,56570478046795035506748116763179377839364